沖銷,日期,股名,股票,成交股數,單價,類別,價金,手續費,交易稅,融券手續費,資息,券息,預繳金,淨收付,損益,報酬率(%),當沖,借貸,借貸還款,自備款,融資金額,擔保價款,保證金,二代健保,幣別
,113/04/16,昶昕,8438,2000,31.9,現股賣,63800,26,191,,,,,63583,13763,27.63%,,,,,,,,,台幣
,113/04/29,晟德,4123,5000,43.5,現股買,217500,87,,,,,,-217587,,,,,,,,,,,台幣
,113/04/29,網家,8044,1000,32.05,現股買沖,32050,20,,,,,,-32070,,,現股,,,,,,,,台幣
,113/04/29,網家,8044,1000,32.3,現股賣沖,32300,20,48,,,,,32232,162,0.51%,現股,,,,,,,,台幣
,113/06/14,鈞興-KY,4571,3000,150,現股買,450000,180,,,,,,-450180,,,,,,,,,,,台幣
,113/06/14,鈞興-KY,4571,1000,148.5,現股買,148500,60,,,,,,-148560,,,,,,,,,,,台幣
,113/06/14,鈞興-KY,4571,1000,147.5,現股買,147500,59,,,,,,-147559,,,,,,,,,,,台幣
,113/06/14,鈞興-KY,4571,3000,147,現股買,441000,176,,,,,,-441176,,,,,,,,,,,台幣
,113/06/18,台積電,2330,1000,948,現股買,948000,379,,,,,,-948379,,,,,,,,,,,台幣
,113/06/20,台化,1326,5000,52.3,現股買,261500,105,,,,,,-261605,,,,,,,,,,,台幣
,113/07/02,晟德,4123,5000,58.8,現股賣,294000,118,882,,,,,293000,75413,34.66%,,,,,,,,,台幣
,113/07/02,台化,1326,5000,48.8,現股賣,244000,98,732,,,,,243170,-18435,-7.05%,,,,,,,,,台幣
,113/07/08,鈞興-KY,4571,1000,134,現股買沖,134000,54,,,,,,-134054,,,現股,,,,,,,,台幣
,113/07/08,鈞興-KY,4571,1000,137.5,現股賣沖,137500,55,206,,,,,137239,3185,2.38%,現股,,,,,,,,台幣
,113/07/09,喬山,1736,1000,95.6,現股買,95600,39,,,,,,-95639,,,,,,,,,,,台幣
,113/07/09,喬山,1736,1000,94.6,現股買,94600,38,,,,,,-94638,,,,,,,,,,,台幣
,113/07/11,鈞興-KY,4571,1000,139.5,現股買沖,139500,56,,,,,,-139556,,,現股,,,,,,,,台幣
,113/07/11,喬山,1736,1000,107,現股買沖,107000,43,,,,,,-107043,,,現股,,,,,,,,台幣
,113/07/11,喬山,1736,1000,108,現股賣沖,108000,44,162,,,,,107794,751,0.7%,現股,,,,,,,,台幣
,113/07/11,鈞興-KY,4571,1000,138,現股賣沖,138000,56,207,,,,,137737,-1819,-1.3%,現股,,,,,,,,台幣
,113/07/12,波若威,3163,1000,161,現股買,161000,65,,,,,,-161065,,,,,,,,,,,台幣
,113/07/12,波若威,3163,1000,159,現股買,159000,64,,,,,,-159064,,,,,,,,,,,台幣
,113/07/15,波若威,3163,1000,167,現股買沖,167000,67,,,,,,-167067,,,現股,,,,,,,,台幣
,113/07/15,波若威,3163,1000,162,現股買沖,162000,65,,,,,,-162065,,,現股,,,,,,,,台幣
,113/07/15,波若威,3163,1000,168.5,現股賣沖,168500,68,252,,,,,168180,1113,0.67%,現股,,,,,,,,台幣
,113/07/15,波若威,3163,1000,169,現股賣沖,169000,68,253,,,,,168679,6614,4.08%,現股,,,,,,,,台幣
,113/07/15,友訊,2332,2000,19.6,現股賣,39200,20,117,,,,,39063,1643,4.39%,,,,,,,,,台幣
,113/07/16,波若威,3163,2000,156.5,現股買沖,313000,125,,,,,,-313125,,,現股,,,,,,,,台幣
,113/07/16,波若威,3163,2000,157.5,現股賣沖,315000,126,472,,,,,314402,1277,0.41%,現股,,,,,,,,台幣
,113/07/16,喬山,1736,1000,113.5,現股買沖,113500,46,,,,,,-113546,,,現股,,,,,,,,台幣
,113/07/16,喬山,1736,1000,112.5,現股買沖,112500,45,,,,,,-112545,,,現股,,,,,,,,台幣
,113/07/16,喬山,1736,2000,113,現股賣沖,226000,91,339,,,,,225570,-521,-0.23%,現股,,,,,,,,台幣
,113/07/17,喬山,1736,1000,119.5,現股賣沖,119500,48,179,,,,,119273,1225,1.04%,現股,,,,,,,,台幣
,113/07/17,喬山,1736,1000,118,現股買沖,118000,48,,,,,,-118048,,,現股,,,,,,,,台幣
,113/07/17,鈞興-KY,4571,1000,140.5,現股買沖,140500,57,,,,,,-140557,,,現股,,,,,,,,台幣
,113/07/17,鈞興-KY,4571,1000,141.5,現股買沖,141500,57,,,,,,-141557,,,現股,,,,,,,,台幣
,113/07/17,鈞興-KY,4571,1000,139.5,現股買沖,139500,56,,,,,,-139556,,,現股,,,,,,,,台幣
,113/07/17,鈞興-KY,4571,3000,139,現股賣沖,417000,167,625,,,,,416208,-5462,-1.3%,現股,,,,,,,,台幣
,113/07/18,波若威,3163,1000,179,現股買沖,179000,72,,,,,,-179072,,,現股,,,,,,,,台幣
