================================================================================
篩選結果 - 法人買超(20251230) + 漲幅0-5% + PE<30 + 量>500張
================================================================================

  # 代號     名稱            價格      漲幅        外資(張)        投信(張)     PE
--------------------------------------------------------------------------------
  1 2884   玉山金         33.9  +0.59%  -14,150,614  +32,618,000   17.4
  2 2892   第一金         29.8  +0.85%   +8,015,000   -1,961,000   16.3
  3 3231   緯創         147.0  +0.68%     -152,704   +3,937,562   19.0
  4 2882   國泰金         76.2  +0.26%   -6,303,740  +10,039,000   15.0
  5 2887   台新新光金       20.6  +0.74%   +3,356,979     +244,000   20.8
  6 2603   長榮         191.0  +0.26%   +2,818,637      +70,000    4.6
  7 1722   台肥          47.2  +0.21%   +2,467,000       -2,000   29.9
  8 2845   遠東銀         12.9  +0.00%   +1,426,113      -12,000   16.3
  9 2542   興富發         40.2  +0.00%   +1,352,000      -53,000   15.4
 10 1102   亞泥          37.1  +0.82%  -14,991,827  +16,046,797   11.1
 11 1409   新纖          15.2  +0.33%     +713,000           +0   12.8
 12 6177   達麗          53.7  +0.56%     +690,000           +0   15.2
 13 2489   瑞軒          15.0  +0.67%     +632,000           +0   10.6
 14 2376   技嘉         246.0  +3.14%   -2,368,477   +3,000,000   13.6
 15 4977   眾達-KY      143.0  +3.25%     +620,650           +0   25.4
 16 3044   健鼎         320.5  +0.00%   +1,197,000     -631,000   16.9
 17 2492   華新科        115.5  +1.32%     +544,036           +0   23.9
 18 8103   瀚荃          86.0  +4.62%     +520,540           +0   25.2
 19 1513   中興電        151.0  +0.33%     +524,000       -6,206   19.6
 20 2537   聯上發         12.1  +1.26%     +508,000           +0   21.6
 21 5515   建國          35.5  +1.00%     +463,000           +0    9.1
 22 3706   神達          83.5  +0.36%   +1,951,206   -1,494,000   18.8
 23 2327   國巨*        225.5  +1.35%   -2,170,761   +2,558,102   22.6
 24 2889   國票金         16.4  +0.61%     +372,000      -10,000   27.3
 25 2108   南帝          23.8  +3.93%     +351,000           +0   25.9
 26 2206   三陽工業        61.5  +0.49%     +349,000       -3,000   10.2
 27 2528   皇普          30.6  +1.32%     +325,000           +0    4.4
 28 3406   玉晶光        446.0  +1.48%     +301,542       -1,000   14.9
 29 9910   豐泰         116.0  +4.50%   -1,162,434   +1,446,000   22.1
 30 2474   可成         207.5  +0.73%   +2,395,824   -2,125,258   15.2

================================================================================
共 54 檔符合條件
