================================================================================
選股條件 v2.0 篩選結果 - 20251230
條件：排除金融股、PE<25、法人買超、漲幅0-5%、量>500張
================================================================================

  # 代號     名稱              價格      漲幅        外資(張)        投信(張)     PE
--------------------------------------------------------------------------------
  1 3231   緯創           147.0  +0.68%     -152,704   +3,937,562   19.0
  2 2603   長榮           191.0  +0.26%   +2,818,637      +70,000    4.6
  3 6177   達麗            53.7  +0.56%     +690,000           +0   15.2
  4 2376   技嘉           246.0  +3.14%   -2,368,477   +3,000,000   13.6
  5 3044   健鼎           320.5  +0.00%   +1,197,000     -631,000   16.9
  6 2492   華新科          115.5  +1.32%     +544,036           +0   23.9
  7 1513   中興電          151.0  +0.33%     +524,000       -6,206   19.6
  8 3706   神達            83.5  +0.36%   +1,951,206   -1,494,000   18.8
  9 2327   國巨*          225.5  +1.35%   -2,170,761   +2,558,102   22.6
 10 2206   三陽工業          61.5  +0.49%     +349,000       -3,000   10.2
 11 3406   玉晶光          446.0  +1.48%     +301,542       -1,000   14.9
 12 9910   豐泰           116.0  +4.50%   -1,162,434   +1,446,000   22.1
 13 2474   可成           207.5  +0.73%   +2,395,824   -2,125,258   15.2
 14 2236   百達-KY        116.0  +1.75%     +263,000           +0   21.2
 15 2612   中航            60.7  +0.50%     +200,000           +0    8.5
 16 6196   帆宣           273.5  +0.74%     +351,388     -173,000   20.8
 17 3045   台灣大          110.5  +0.91%   -2,253,562   +2,415,000   23.9
 18 6416   瑞祺電通          91.6  +4.45%     +114,000           +0   22.8
 19 6412   群電            92.9  +1.53%     +885,000     -795,000   15.1
 20 2395   研華           287.0  +0.17%     +120,732      -45,000   24.5
 21 8454   富邦媒          210.0  +0.48%     -201,237     +269,000   17.5
 22 3026   禾伸堂          100.0  +0.00%      +52,010           +0   16.3
 23 3545   敦泰            52.3  +0.77%      +19,000           +0   22.2
 24 1477   聚陽           299.0  +1.53%      +92,000      -77,000   19.9
 25 4961   天鈺           145.0  +1.05%     +622,000     -612,000   12.2
 26 3617   碩天           212.0  +0.24%     +264,000     -260,000   11.3

================================================================================
共 26 檔符合條件
